[Sat Apr 25 13:27:38 2026] [NORMAL] Action: GAUCHE | Duree: 2s
[Sat Apr 25 13:27:39 2026] [URGENT] Action: ARRET_URGENCE | Duree: 1s
[Sat Apr 25 13:27:41 2026] [URGENT] Action: RECULER | Duree: 2s
[Sat Apr 25 13:27:46 2026] [URGENT] Action: RECHARGE | Duree: 5s
[Sat Apr 25 13:27:47 2026] [URGENT] Action: ARRET_URGENCE | Duree: 1s
[Sat Apr 25 13:27:49 2026] [URGENT] Action: RECULER | Duree: 2s
[Sat Apr 25 13:27:53 2026] [NORMAL] Action: DROITE | Duree: 4s
[Sat Apr 25 13:27:56 2026] [NORMAL] Action: DROITE | Duree: 3s
[Sat Apr 25 13:27:59 2026] [NORMAL] Action: RECULER | Duree: 3s
[Sat Apr 25 13:29:01 2026] [NORMAL] Action: AVANCER | Duree: 3s
[Sat Apr 25 13:29:04 2026] [NORMAL] Action: AVANCER | Duree: 3s
[Sat Apr 25 13:29:05 2026] [URGENT] Action: ARRET_URGENCE | Duree: 1s
[Sat Apr 25 13:29:07 2026] [URGENT] Action: RECULER | Duree: 2s
[Sat Apr 25 13:29:09 2026] [NORMAL] Action: GAUCHE | Duree: 2s
[Sat Apr 25 13:29:14 2026] [NORMAL] Action: AVANCER | Duree: 5s
[Sat Apr 25 13:29:15 2026] [URGENT] Action: ARRET_URGENCE | Duree: 1s
[Sat Apr 25 13:29:17 2026] [URGENT] Action: RECULER | Duree: 2s
[Sat Apr 25 13:29:22 2026] [URGENT] Action: RECHARGE | Duree: 5s
[Sat Apr 25 13:29:24 2026] [NORMAL] Action: DROITE | Duree: 2s
[Sat Apr 25 13:29:25 2026] [URGENT] Action: ARRET_URGENCE | Duree: 1s
[Sat Apr 25 13:29:27 2026] [URGENT] Action: RECULER | Duree: 2s
[Sat Apr 25 13:29:31 2026] [NORMAL] Action: AVANCER | Duree: 4s
[Sat Apr 25 13:29:32 2026] [URGENT] Action: ARRET_URGENCE | Duree: 1s
[Sat Apr 25 13:29:34 2026] [URGENT] Action: RECULER | Duree: 2s
[Sat Apr 25 13:29:39 2026] [URGENT] Action: RECHARGE | Duree: 5s
[Sat Apr 25 13:29:40 2026] [URGENT] Action: ARRET_URGENCE | Duree: 1s
[Sat Apr 25 13:29:42 2026] [URGENT] Action: RECULER | Duree: 2s
[Sat Apr 25 13:29:46 2026] [NORMAL] Action: AVANCER | Duree: 4s
[Sat Apr 25 13:29:50 2026] [NORMAL] Action: AVANCER | Duree: 4s
[Sat Apr 25 13:29:51 2026] [URGENT] Action: ARRET_URGENCE | Duree: 1s
[Sat Apr 25 13:29:53 2026] [URGENT] Action: RECULER | Duree: 2s
